goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/4KB-8          	  189913	      6340 ns/op	 646.08 MB/s	   10320 B/op	       8 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  192097	      6305 ns/op	 649.67 MB/s	   10320 B/op	       8 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  189321	      6331 ns/op	 646.98 MB/s	   10320 B/op	       8 allocs/op
BenchmarkCCMEncrypt/4KB-8          	  190766	      6337 ns/op	 646.31 MB/s	   10320 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97837	     12439 ns/op	 658.56 MB/s	   19536 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   96504	     12410 ns/op	 660.09 MB/s	   19536 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97771	     12527 ns/op	 653.95 MB/s	   19536 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97756	     12318 ns/op	 665.04 MB/s	   19536 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   98901	     12395 ns/op	 660.94 MB/s	   19536 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   93429	     12250 ns/op	 668.71 MB/s	   19536 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   98548	     12369 ns/op	 662.29 MB/s	   19536 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97255	     12454 ns/op	 657.78 MB/s	   19536 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97554	     12409 ns/op	 660.17 MB/s	   19536 B/op	       8 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   95122	     12478 ns/op	 656.51 MB/s	   19536 B/op	       8 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	164.947s
