goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  498666	      4922 ns/op	 304.76 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/1.4KB-8        	  462441	      2828 ns/op	 530.44 MB/s	    3089 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  193752	      5709 ns/op	 717.41 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  218761	      5765 ns/op	 710.48 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  202394	      5627 ns/op	 727.96 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  201397	      7861 ns/op	 521.09 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  217849	      5540 ns/op	 739.29 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  217230	      6328 ns/op	 647.26 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  216366	      5576 ns/op	 734.64 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  219313	      5672 ns/op	 722.13 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  184249	      8077 ns/op	 507.10 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/4KB-8          	  208660	      6401 ns/op	 639.92 MB/s	    9747 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  113661	     10655 ns/op	 768.83 MB/s	   18966 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  112918	     11617 ns/op	 705.20 MB/s	   18966 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  113516	     23535 ns/op	 348.07 MB/s	   18966 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   31257	     61577 ns/op	 133.04 MB/s	   18967 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   31602	     46566 ns/op	 175.92 MB/s	   18966 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   29661	     37291 ns/op	 219.68 MB/s	   18966 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   37030	     35271 ns/op	 232.26 MB/s	   18966 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   35336	     32867 ns/op	 249.25 MB/s	   18966 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   33028	     32474 ns/op	 252.27 MB/s	   18966 B/op	       3 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	   48576	     23071 ns/op	 355.08 MB/s	   18966 B/op	       3 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	171.932s
