goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  106846	     11504 ns/op	 712.13 MB/s	   18990 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  110569	     10980 ns/op	 746.05 MB/s	   18988 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  108915	     11007 ns/op	 744.23 MB/s	   18990 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  109819	     10981 ns/op	 746.05 MB/s	   18989 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  108361	     11712 ns/op	 699.46 MB/s	   18989 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  103564	     13071 ns/op	 626.72 MB/s	   18992 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  104960	     10967 ns/op	 746.96 MB/s	   18988 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  108730	     10996 ns/op	 745.03 MB/s	   18989 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  107048	     10893 ns/op	 752.06 MB/s	   18988 B/op	       4 allocs/op
BenchmarkChaCha20Poly1305Encrypt/8KB-8          	  108876	     10926 ns/op	 749.80 MB/s	   18990 B/op	       4 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	157.334s
