goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkGCMEncrypt/1.4KB-8        	 1704427	       698.5 ns/op	2147.58 MB/s	    3344 B/op	       3 allocs/op
BenchmarkGCMEncrypt/1.4KB-8        	 1713523	       704.2 ns/op	2130.07 MB/s	    3344 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  803250	      1596 ns/op	2565.66 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  795484	      1534 ns/op	2670.97 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  715525	      1533 ns/op	2671.80 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  778083	      1657 ns/op	2471.63 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  672841	      1760 ns/op	2327.76 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  704589	      2133 ns/op	1920.55 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  757630	      1797 ns/op	2279.24 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  720805	      1909 ns/op	2145.60 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  533350	      2303 ns/op	1778.71 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/4KB-8          	  744924	      1643 ns/op	2493.37 MB/s	    9744 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  430920	      2730 ns/op	3000.84 MB/s	   18960 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  441756	      2736 ns/op	2994.05 MB/s	   18960 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  449191	      2725 ns/op	3006.14 MB/s	   18960 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  436580	      2837 ns/op	2887.14 MB/s	   18960 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  438260	      2749 ns/op	2979.79 MB/s	   18960 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  444213	      2782 ns/op	2945.01 MB/s	   18960 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  421159	      2759 ns/op	2968.79 MB/s	   18960 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  443842	      2727 ns/op	3004.42 MB/s	   18960 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  476824	      2736 ns/op	2994.61 MB/s	   18960 B/op	       3 allocs/op
BenchmarkGCMEncrypt/8KB-8          	  458523	      2953 ns/op	2773.99 MB/s	   18960 B/op	       3 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	173.018s
