goos: darwin
goarch: arm64
pkg: github.com/pion/dtls/v3/pkg/crypto/ciphersuite
cpu: Apple M1 Pro
BenchmarkCCMEncrypt/8KB-8          	   90832	     12857 ns/op	 637.15 MB/s	   19520 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   93927	     12736 ns/op	 643.22 MB/s	   19520 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   96499	     12516 ns/op	 654.53 MB/s	   19520 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   95593	     12714 ns/op	 644.31 MB/s	   19520 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   95380	     12611 ns/op	 649.61 MB/s	   19520 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   95830	     12455 ns/op	 657.74 MB/s	   19520 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   97740	     13316 ns/op	 615.21 MB/s	   19520 B/op	       7 allocs/op
BenchmarkCCMEncrypt/8KB-8          	   95748	     12444 ns/op	 658.32 MB/s	   19520 B/op	       7 allocs/op
PASS
ok  	github.com/pion/dtls/v3/pkg/crypto/ciphersuite	155.436s
